"","Country.Name","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Africa Eastern and Southern",777,751,732,710,680,643,608,577,551,526,501,480,462,446,433,419,408,398,NA,NA
"3","Afghanistan",1450,1390,1300,1240,1180,1140,1120,1090,1030,993,954,905,858,810,786,701,673,638,NA,NA
"4","Africa Western and Central",1000,987,973,954,924,890,858,834,821,810,798,789,778,767,758,744,729,717,NA,NA
"5","Angola",827,766,690,628,574,519,473,431,395,359,326,300,281,269,258,251,246,241,NA,NA
"6","Albania",23,23,21,21,18,22,18,19,20,20,21,22,17,16,16,15,16,15,NA,NA
"7","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Arab World",250,243,235,235,226,214,211,201,188,180,174,167,163,157,156,153,152,149,NA,NA
"9","United Arab Emirates",6,6,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,NA,NA
"10","Argentina",66,67,65,65,61,59,57,56,53,56,51,48,47,44,42,41,40,39,NA,NA
"11","Armenia",43,42,39,38,36,35,36,32,36,32,32,30,30,26,27,28,26,26,NA,NA
"12","American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Antigua and Barbuda",44,44,43,44,41,40,46,48,50,45,44,43,44,43,42,43,43,42,NA,NA
"14","Australia",7,6,6,6,5,5,5,5,5,5,5,6,6,6,6,6,6,6,NA,NA
"15","Austria",6,6,6,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA
"16","Azerbaijan",47,44,43,44,39,42,35,34,32,32,31,30,29,28,28,27,26,26,NA,NA
"17","Burundi",1010,956,925,890,844,814,785,756,733,698,665,635,608,591,576,568,558,548,NA,NA
"18","Belgium",8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,NA,NA
"19","Benin",520,516,511,510,505,500,493,486,480,471,464,458,450,441,432,421,408,397,NA,NA
